"quote","attribution"
"In Wirklichkeit steht die Wahrheit strahlend unverhüllt da, der Schleier liegt auf unseren Augen, und wir brauchen den Star nur zu entfernen, so erblicken wir die Wahrheit, und der Wahn entschwindet.","Houston Stewart Chamberlain, Neue Kriegsaufsätze. 3. Auflage. München: Bruckmann, 1915. S. 36"
"Jedes Schreckbild verschwindet, wenn man es fest ins Auge faßt.","Johann Gottlieb Fichte, Reden an die deutsche Nation"
"Jene unmittelbare Verwandtschaft des Lichtes und des Auges wird niemand leugnen, aber sich beide zugleich als eins und dasselbe zu denken, hat mehr Schwierigkeit.","Johann Wolfgang von Goethe, Goethes Naturwissenschaftliche Schriften (Kürschner), Farbenlehre"
"Komm, Nerina! Sitz // Fröhlich auf meinen Knien, // Und in deine Augen soll // Erregung lüstern flimmern.","Lorenzo Stecchetti, aus Postuma, VI."
"Männliches Verhalten schwindet - gerade unter Männern. Wir sind Feiglinge, die allenfalls noch mit den Augen rollen.","Norbert Bolz, taz Nr. 8525 vom 8. März 2008, S. 3"
"Mag auch das Auge des Nachtvogels die Sonne nicht sehen, es schaut sie dennoch das Auge des Adlers.","Thomas von Aquin, Kommentar zur Metaphysik des Aristoteles"
"Man muss sein Auge gleichsam schliessen, man muss ein anderes dafür eintauschen und eröffnen, das alle besitzen, dessen sich aber wenige bedienen.","Plotin, Enneaden"
"Man schließt die Augen der Toten behutsam; nicht minder behutsam muss man die Augen der Lebenden öffnen.","Jean Cocteau, Hahn und Harlekin"
"Man sieht nur mit dem Herzen gut, das Wesentliche ist für die Augen unsichtbar.","Antoine de Saint-Exupéry, Der kleine Prinz"
"Man soll ebensowenig nach den Augen heiraten wie nach den Fingern.","Plutarch, Moralische Abhandlungen, Ehevorschriften, 24"
"Meine Übung alle Dinge, wie sie sind, zu sehen und zu lesen, meine Treue das Auge licht sein zu lassen, meine völlige Entäußerung von aller Prätention, machen mich hier im stillen höchst glücklich.","– Johann Wolfgang Goethe, Italienische Reise, Brief an Charlotte aus Rom, am 7. November 1786"
"Menschen reagieren nun mal aufeinander, indem sie einander in die Augen sehen und nicht nur auf die Worte achten, sondern auf alle Signale, die von einer Person ausgehen.","Hillary Clinton, Spiegel Nr. 25/2003, S. 144"
"O daß ihr's begreifen lerntet! daß euch die Schuppen fielen vom Auge!","Friedrich Schiller, Die Räuber, I, 1 / Franz "
"Reinige das Auge, damit du das reinste Licht schauen kannst.","Bernhard von Clairvaux, Vierte Ansprache auf den Vorabend der Geburt des Herrn"
"Schaue jemandem in die Augen und du begegnest ihm.","Anke Maggauer-Kirsche und Walter Ludin, Pfeilspitzen, S. 10"
"Seine Haltung ist: Wir haben die größte Knarre von allen - und das zeigen wir auch. Auge um Auge, Zahn um Zahn, bis alle Zähne draußen sind.","Martin Luther King III., über George W. Bush, Stern Nr. 25/2008 vom 12. Juni 2008, S. 50"
"Thue deine Augen auf und gehe zu einem Baum, und siehe denselben an, und besinne dich.","Jakob Böhme, Aurora oder Morgenröthe im Aufgang, Kap. 9. Aus: Sämmtliche Werke. Hg. von K. W. Schiebler. 2. Band. Leipzig: Barth, 1832. S. 89. Google Books"
"Trink mir nur mit den Augen zu, // mein Blick tut dir Bescheid; // und bleibt ein Kuß für mich im Glas, // den Wein ich gerne meid'.","Ben Jonson, An Celia"
"Trinkt, o Augen, was die Wimper hält, von dem goldnen Überfluss der Welt.","Gottfried Keller, Gedichte"
"Umgibt nun des Tages Helle das den Augen Entströmende, dann vereinigt sich dem Ähnlichen das hervorströmende Ähnliche und bildet in der geraden Richtung der Sehkraft aus Verwandtem da ein Ganzes, wo das von innen Herausdringende dem sich entgegenstellt, was von außen her mit ihm zusammentrifft.","– Platon, Timaios"
"Viele Journalisten und Recensenten sind wie die Kakadus, sie ziehen die Klaue ein, wenn sie gefüttert werden, und drücken ein Auge zu, wenn sie zu trinken bekommen.","Moritz Gottlieb Saphir, Ausgewählte Schriften. 4. Band. 3. Auflage. Brünn und Wien: Karafiat, 1865. S. 244. Google Books-USA*"
"Vom Himmel reißt der Morgen das schwarze Tuch // Der Nacht, drum füll mit Magierwein den Krug, // Saqi, und reib dir deine Augen wach! // Glaub mir, du schläfst dereinst noch lang genug.","Omar Khayyam, Robâîyât-e-Khayyâm (Übersetzt von Friedrich Rosen)"
"Wär nicht das Auge sonnenhaft, // die Sonne könnt es nie erblicken. // Läg nicht in uns des Gottes eigne Kraft, // Wie könnt uns Göttliches entzücken?","Johann Wolfgang von Goethe, Zahme Xenien"
"Was dem Auge dar sich stellet, // Sicher glauben wir's zu schaun; // Was dem Ohr sich zugesellet, // Gibt uns nicht ein gleich Vertraun; // Darum deine lieben Worte // Haben oft mir wohlgetan; // Doch ein Blick am rechten Orte, //  Übrig lässt er keinen Wahn.","– Johann Wolfgang von Goethe, Gedicht Aug' um Ohr"
"Wenn das Fernrohr das Auge war, das den Zugang zu einer Welt neuer Tatsachen eröffnete und zu neuen Methoden, um diese Tatsachen zu ermitteln, dann war die Druckpresse das Stimmband.","Neil Postman, Das Technopol: die Macht der Technologien und die Entmündigung der Gesellschaft, S. 73. Übersetzer: Reinhard Kaiser. Frankfurt am Main, 1992. ISBN 3100624130. ISBN 978-3100624130"
"Wenn das Ohr sich nicht mehr an den Tönen freuen kann, wenn das Auge sich nicht mehr an der Schönheit freuen kann, der Mund die Leckerbissen nicht mehr genießt, so ist das ebenso schlimm wie der Tod.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 20"
"Wenn man mit günstigem Winde einem ruft, ist darum der Ton nicht lauter. Wenn man von erhöhter Stelle aus Umschau hält, ist darum das Auge nicht klarer. Man nützt nur die Verhältnisse aus.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 221"
"Wenn Sie an diesem Stein Wochen und Monate arbeiten, dann schauen Sie nur in Augen hinein. Werden ständig von Augen angeschaut. Das ist das Depot aller menschlichen Augen. Alle Augenfarben sind in diesem Stein.","Karl Prantl zitiert von Andrea Schurian in Der Standard Printausgabe, 09./10.10.2010, Standard-online"
"Wer die Welt will recht verstehn, Muß ihr klar in's Auge sehn.","Friedrich von Bodenstedt, Aus dem Nachlasse Mirza Schaffy's: Neues Liederbuch mit Prolog und erläuterndem Nachtrag. Veröffentlicht von A. Hofmann, 1878. Edition 9."
"Wer seine Augen stets am rechten Orte hat, // Zum rechten Sinne stets die rechten Worte hat, // Der ist der wahre Dichter, der den Schlüssel, // Den rechten Schlüssel zu der rechten Pforte hat.","Friedrich von Bodenstedt, Mirza Schaffy"
"Wie macht man eine Frau in einem englischen Pub an? Du sagst einfach: Du hast wunderschöne Augen, deshalb möchte ich jetzt deine Brüste anfassen.","Chris Martin, Stern Nr. 25/2008 vom 12. Juni 2008, S. 141"
"Wir sind mit sehenden Augen blind.","Hartmann von Aue, Iwein"
"Wirf ein kaltes Auge | auf das Leben, auf den Tod, | Reiter, und dann zieh' weiter!","William Butler Yeats, Grabinschrift"
"Zwei Augen hat die Seel’: eins schauet in die Zeit // Das andre richtet sich hin in die Ewigkeit.","Angelus Silesius, Der cherubinische Wandersmann, Vers  228"
"Auge um Auge, Zahn um Zahn …","Exodus 21,24 Luther 1912"
"Ihr habt gehört, dass gesagt worden ist: Auge für Auge und Zahn für Zahn. Ich aber sage euch: Leistet dem, der euch etwas Böses antut, keinen Widerstand, sondern wenn dich einer auf die rechte Wange schlägt, dann halt ihm auch die andere hin.","Matthäus 5,38-39 EU"
"Warum siehst du den Splitter im Auge deines Bruders, aber den Balken in deinem Auge bemerkst du nicht? Wie kannst du zu deinem Bruder sagen: Lass mich den Splitter aus deinem Auge herausziehen! - und dabei steckt in deinem Auge ein Balken? Du Heuchler! Zieh zuerst den Balken aus deinem Auge, dann kannst du versuchen, den Splitter aus dem Auge deines Bruders herauszuziehen. ","Matthäus 7,3-5 EU"
"Wenn dich dein rechtes Auge zum Bösen verführt, dann reiß es aus und wirf es weg! Denn es ist besser für dich, dass eines deiner Glieder verloren geht, als dass dein ganzer Leib in die Hölle geworfen wird.","Matthäus 5,29 EU"
