"quote","attribution"
"Vom Himmel reißt der Morgen das schwarze Tuch // Der Nacht, drum füll mit Magierwein den Krug, // Saqi, und reib dir deine Augen wach! // Glaub mir, du schläfst dereinst noch lang genug.","Omar Khayyam, Robâîyât-e-Khayyâm (Übersetzt von Friedrich Rosen)"
"Wein ist dem glücklichen Sänger ein schnelles Pferd, als Wassertrinker bringst du jedoch nichts Rechtes zustande.","Kratinos, Nikainetos-Fragment"
"Wein ist der Spiegel des Menschen.","Alkäus von Mytilene, Fragment 16"
"Wein richtet die Schönheit zugrunde, durch Wein wird die Blüte des Lebens verdorben.","Properz, Elegien"
"Wer trinkt, soll reinen Herzens sein, mit Wein ist nicht zu scherzen.","Friedrich Rückert, Östliche Rosen, (Leipzig 1822), S. 90"
"Wie nämlich nicht jeder Wein, so wird nicht jeder durch hohes Alter sauer.","Cicero, De senectute 18, 65"
"Wohlauf! noch getrunken // Den funkelnden Wein! // Ade nun, ihr Lieben! // Geschieden muss sein.","Justinus Kerner, Wanderlied"
"Wo Wein wächst, da ist auch die Lebensfreude größer.","Vincent Klink, Geo Saison, 7/2006, S. 24"
"Ein Glas Wein auf die Suppe ist dem Arzt einen Taler entzogen.","Aus Deutschland"
"Eine Rebe verlangt soviel Zuwendung wie ein Neugeborenes.","Aus Georgien"
"Geht der Wein aus, hört das Gespräch auf, geht das Geld aus, bleiben die Freunde aus.","Aus Rumänien"
"Guter Wein braucht kein Aushängeschild.","Aus Italien"
"Im Wein liegt die Wahrheit!","Lateinisches Sprichwort nach Plinius d.Ä., Naturgeschichte XIV, 50, 141 und Alkäus von Mytilene, Fragment 57"
"Iss viel Brot, trink wenig Wein!","Aus Frankreich"
"Trink den Wein und lass das Wasser der Mühle.","Aus Venedig"
"Wein und Freunde, ein Paradies.","Aus Friaul"
"Wer Wein verdient, soll nicht Wasser bekommen.","Aus Afrika, Sprichwort der der Thsi"
"Berauscht euch nicht mit Wein - das macht zügellos -, sondern lasst euch vom Geist erfüllen!","Epheser 5, 18"
"Der Wein erfreut des Menschen Herz.","Psalm 104, 15"
"Es ist nicht für Könige, Wein zu trinken, noch für hohe Amtspersonen zu sagen: Wo ist berauschendes Getränk?, damit einer nicht trinkt und vergißt, was verordnet ist, und die Rechtssache irgendeines der Söhne der Trübsal verdreht.","Sprüche 31,4-5"
"Jungen Wein in alte Schläuche füllen.","Redensart nach Matthäus 9, 17"
"Weh denen, die des Morgens früh auf sind, des Saufens sich zu fleißigen, und sitzen bis in die Nacht, dass sie der Wein erhitzt, und haben Harfen, Psalter, Pauken, Pfeifen und Wein in ihrem Wohlleben und sehen nicht auf das Werk des Herrn und schauen nicht auf das Geschäft seiner Hände!","Jesaja 5, 11-12"
"Sie fragen dich über Wein und Glücksspiel. Sprich: „In beiden ist großes Übel und auch Nutzen für die Menschen; doch ihr Übel ist größer als ihr Nutzen.“","Sure 2, 219 (Ahmadiyya) Onlinetext"
"O die ihr glaubt! Wein und Glücksspiel und Götzenbilder und Lospfeile sind ein Gräuel, ein Werk Satans. So meidet sie allesamt, auf dass ihr Erfolg habt. // Satan will durch Wein und Glücksspiel nur Feindschaft und Hass zwischen euch erregen, um euch so vom Gedanken an Allah und vom Gebet abzuhalten.","Sure 5, 90-91 (Ahmadiyya) Onlinetext"
