"quote","attribution"
"Das Lesen fördert die Identitätsentwicklung des Kindes; es hilft ihm, die Sichtweisen anderer zu verstehen; es lehrt den spielerischen Umgang mit Sprache, es eröffnet die Möglichkeit, in der Parallelwelt des Buches Prüfungen zu bestehen, die man auch in der wirklichen Welt fürchtet.","Susanne Gaschke, Die Erziehungskatastrophe. Kinder brauchen starke Eltern, Deutsche Verlags-Anstalt, Stuttgart/München 2001, S. 251, ISBN 3-421-05465-7"
"Dein redseliges Buch lehrt mancherlei Neues und Wahres. // Wäre das Wahre nur neu; wäre das Neue nur wahr!","Johann Heinrich Voß, Epigramme: Auf mehrere Bücher. In: Sämtliche poetische Werke. Hrsg. von Abraham Voss. Leipzig: Müller, 1835. S. 290, Google Books"
"Der Umgang mit Büchern bringt die Leute um den Verstand.","Erasmus von Rotterdam, Der Abt Antronius besucht Magdalia, 61 / Antronius"
"Die Bibliotheken füllen sich an mit Büchern, die Geister aber werden immer ärmer an Bildung.","Gerolamo Cardano, Lebensbeschreibung"
"Die nützlichsten Bücher sind die, die den Leser anregen, sie zu ergänzen.","Voltaire, Philosophisches Taschenwörterbuch"
"Dieser Falz in der Mitte und die Buchseite in ihrer rechteckigen Form. Es ist eine Methode, die Dinge aufzubewahren, indem man sie zusammenfaltet.","Ed Ruscha, In: miromente 29, September 2012, S. 40 [1]"
"Die Welt ist ein Buch. Wer nie reist, sieht nur eine Seite davon.","Aurelius Augustinus, In: VORDERLANDHUS Zitig Mai 2013, S. 40 [2]"
"Dort, wo man Bücher verbrennt, verbrennt man am Ende auch Menschen.","Heinrich Heine, Almansor"
"Eigentlich lebe ich ja noch eine ganze Weile über mein Tod hinaus […] als Figur. In Dir! Und in den Büchern.","James Krüss, Mein Urgroßvater, die Helden und ich"
"Ein Buch ist ja keine Drehorgel, womit uns der Invalide unter dem Fenster unerbittlich die Ohren zermartert.","Wilhelm Busch, Eduards Traum. In: Was beliebt ist auch erlaubt. Wilhelm Busch. Sämtliche Werke II. Herausgegeben von Rolf Hochhuth. 12. Auflage, München, 2008. ISBN 3570030040. S. 441"
"Ein Buch ist Spiegel, aus dem kein Apostel herausgucken kann, wenn ein Affe hineinguckt.","Georg Christoph Lichtenberg, Sudelbücher Heft E (215)"
"[...] ein Buch muß die Axt sein für das gefrorene Meer in uns.","Franz Kafka an Oskar Pollak, 27. Januar 1904. In: Briefe 1902-1924, Hrsg. Max Brod, S. Fischer, Frankfurt/Main 1966, S. 28 books.google.de"
"Ein Buch oder auch ein Film sind behütete Orte. Es lässt sich alles durchleben - in der tröstlichen Gewissheit, dass Schrecken und Angst, Trauer und Verzweiflung ein Ende haben werden.","Cornelia Funke, auf die Frage, ob phantastische Geschichten Kindern ermögliche, den Umgang mit Gefühlen zu erlernen, Spiegel Nr. 50/2008 vom 8. Dezember 2008, S. 184"
"Ein Buch, wenn es so zugeklappt daliegt, ist ein gebundenes, schlafendes, harmloses Tierchen, welches keinem was zuleide tut. Wer es nicht aufweckte den gähnt es nicht an- wer ihm die Nase nicht grad zwischen die Kiefern steckt, den beißt's auch nicht.","Wilhelm Busch, Eduards Traum. In: Was beliebt ist auch erlaubt. Wilhelm Busch. Sämtliche Werke II. Herausgegeben von Rolf Hochhuth. 12. Auflage, München, 2008. ISBN 3570030040. S. 441"
"Eine Forschung, die nichts anderes als Bücher hervorbringt, genügt nicht.","Kurt Lewin, Action Research and Minority Problems, in: Resolving Social Conflicts; selected papers on group dynamics, G. W. Lewin (Hrsg.), Harper & Row, New York 1948, S. 203 "
"Ein Klassiker ist ein Buch, das die Leute loben, aber nicht lesen.","Mark Twain, Following the Equator, chapter XXV"
"Ein sicheres Zeichen von einem guten Buch ist, wenn es einem immer besser gefällt, je älter man wird.","Georg Christoph Lichtenberg, Sudelbücher, Heft E (196)"
"Eine rechtschaffene Ehe kommt mir vor wie ein schweres, inhaltreiches Buch, drin eine sehr reiche, sehr tiefe, sehr vielfältige Lebensweisheit steht, zwar für jedermann verfaßt, aber von wenigen wirklich gefaßt und begriffen.","Adolph Kolping, RhVB, S. 306"
"Ein Volk, das ein wahres volksthümliches Bücherwesen besitzt, ist Herr von einem unermeßlichen Schatze.","Friedrich Ludwig Jahn, Deutsches Volksthum, bei Niemann und Comp., Lübeck 1810, S. 382, DTA"
"Er trug das Buch in den Schrank. Er verschloß den Schrank und zog den Schlüssel ab.Nervöse Leute, hohlklingend, ohne Inhalt, die sich die gebildete Gesellschaft benennen, haben die Angewohnheit, wenn sie zu Freunden, wohl auch zu Fremden kommen, sich zuerst auf das Bücherbrett and er Wand zu stürzen und in den Büchern zu wühlen, um eine Spitzmarke für sich zu suchen, unter mehreren Ach und Hm und Ohs! Unter dieser Spitzmarke treten sie einem dann gefaßt entgegen. Joshua öffnete die Haustüre.","Klabund Der Rubin. Roman eines jungen Mannes Bouviers Bibliothek, Bonn 1986, S. 39"
"Es gibt kein unmoralisches Buch. Bücher sind gut geschrieben oder schlecht geschrieben. Das ist alles.","Oscar Wilde, Das Bildnis des Dorian Gray, Vorwort"
"Es ist egal, ob ein Kind ein Buch liest, ein Audiobuch hört oder einen Film sieht. Wichtig ist nur, dass Kinder mit Geschichten groß werden.","Cornelia Funke, Spiegel Nr. 50/2008 vom 8. Dezember 2008, S. 186"
"Es ist mit Büchern nicht anders als mit Menschen. Sie mögen so verschieden sein, wie sie wollen - nur stark und ehrlich müssen sie sein und sich behaupten können, das gibt die beste Kameradschaft.","Walter Flex, Der Wanderer zwischen beiden Welten"
"Es ist mit dem Lesen wie mit jedem anderen Genusse: er wird stets desto tiefer und nachhaltiger sein, je inniger und liebevoller wir uns ihm hingeben. Man muß seine Bücher als Freunde und Lieblinge behandeln, jedes in seiner Eigenart schätzen und nichts von ihm verlangen, was dieser Eigenart fremd ist.","Hermann Hesse, Quelle: Die Welt der Bücher, Kalender aus dem Insel Verlag, 1977"
"Es ist wichtiger, Menschen zu studieren, als Bücher.","François de La Rochefoucauld, Nachgelassene Maximen"
"Es liest // Kein Leser mehr heraus, als er hinein liest. // Dem andern ist dasselbe Buch ein anders.","Otto Ludwig, Das Fräulein von Scuderi, II, 7 (Cardillac). Aus: Gesammelte Schriften. 3. Band: Dramen. Leipzig: Grunow, 1891. S. 168. Google Books-USA*"
"Glaube mir, ich habe es erfahren, du wirst ein Mehreres in den Wäldern finden als in den Büchern; Bäume und Steine werden dich lehren, was kein Lehrmeister dir zu hören gibt.","Bernhard von Clairvaux, Brief (ep. 106)"
"Gutenberg, deine Druckpresse ist von diesem bösen Buch, Mein Kampf, entehrt worden.","Friedrich Kellner, Organisator für SPD"
"...ich bin kein ausgeklügelt Buch, // Ich bin ein Mensch mit seinem Widerspruch...","Conrad Ferdinand Meyer, Huttens letzte Tage (vorangestelltes Motto). 20. Auflage. Leipzig: Haessel, 1901. S. 1. Google Books-USA*"
"Ich finde und habe immer gefunden, daß sich ein Buch gerade vorzugsweise zu einem freundschaftlichen Geschenk eignet. Man liest es oft, man kehrt oft dazu zurück, man nahet sich ihm aber nur in ausgewählten Momenten, braucht es nicht wie eine Tasse, ein Glas, einen Hausrath, so in jedem gleichgültigen Augenblick des Lebens, und erinnert sich so immer des Freundes im Augenblick eines würdigen Genusses.","Wilhelm von Humboldt, Briefe an eine Freundin, 21. Brief: Tegel, den 4. December 1830. 5. Auflage, 2. Theil. Leipzig: Brockhaus, 1853. S. 103f. Google Books"
"Ich habe bei Tag und Nacht über den Büchern gesessen, ganze Bibliotheken durchgelesen, auch Philosophie und fremde Sprachen getrieben, und die Bücher sind leider mein Gott gewesen.","Ludwig Harms, zitiert in: Arno Pagel, Ludwig Harms - Gottes Rufer in der Heide"
"Ich habe den Radebeuler Schwadroneur des Nahen Ostens und Wilden Westens nie so verschlungen wie die meisten anderen Jungs, mir waren seine 600-Seiten-Schwarten zu wenig lustig und zu wenig Liebe drin, kein Sex.","Hellmuth Karasek, über Karl May, Freuds Couch & Hempels Sofa, Köln, 2004, S. 50. ISBN 3462034332"
"Ich glaube, man sollte überhaupt nur solche Bücher lesen, die einen beißen und stechen. Wenn das Buch, das wir lesen, uns nicht mit einem Faustschlag auf den Schädel weckt, wozu lesen wir dann das Buch?","Franz Kafka an Oskar Pollak, 27. Januar 1904. In: Briefe 1902-1924, Hrsg. Max Brod, S. Fischer, Frankfurt/Main 1966, S. 27 books.google.de"
"Ich kann keine Noten und keine Bücher mehr lesen. Ich könnte mir natürlich Hörbücher kaufen, aber das ist mir zu blöd.","Paul Kuhn, über seine fortgeschrittene Sehbehinderung, Frankfurter Allgemeine Zeitung Nr. 58/2008 vom 8. März 2008, S. Z6"
"Ich persönlich kann mir ein Leben ohne Kunst [...] nicht vorstellen! wenn ich bespielsweise umziehe, dann ist für mich immer das Wichtigste was mit meinen Bildern und meinen Büchern geschieht, alle anderen Gegenstände sind mir dabei nicht wichtig, weil sie ja ersetzbar sind.","Lothar Späth, Kulturkalender Baden-Württemberg, Ausgabe 32, 3/2007 Juli-September 2007, S. 22"
"Ich sehe das Buch und das gedruckte Wort trotz aller Neuerungen nach wie vor als den wichtigsten und tiefgreifendsten Medienbeitrag zur gesamtgesellschaftlichen Entwicklung. Nur eine Gemeinschaft mit ausgeprägter Lesekultur wird die Kraft zur Weiterentwicklung in sich tragen.","Reinhard Mohn, Taschenbuch 150 Jahre Bertelsmann, 1985"
"In diesem Buch, welches meine Erinnerung ist, auf der ersten Seite des Kapitels in dem der Tag beschrieben wird an dem ich dich zum ersten Mal traf, kann man die Worte lesen: »Hier beginnt ein neues Leben«.","Dante Alighieri, Das neue Leben (La Vita Nuova), I, 1"
"In diesem Sinne kann man solche Bücher wahrhaft erbaulich nennen, wie es der Roman, moralische Erzählung, Novelle und dergleichen nicht sein sollen: denn von ihnen als sittlichen Kunsterscheinungen verlangt man mit Recht eine innere Konsequenz, die, wir mögen durch noch so viel Labyrinthe durchgeführt werden, doch wieder hervortreten und das Ganze in sich selbst abschließen soll.","Johann Wolfgang von Goethe, Schriften zur Literatur - Der deutsche Gil Blas"
"In Frankreich gibt es nichts, das ewig ist. Diese Worte sollten aus dem Wörterbuch der Franzosen gestrichen werden.","Napoléon III., nachdem ihm sein Verteidiger mitteilte, er sei zu ´ewiger Haft´ verurteilt, aus: Heinz Rieder, Napoleon III. Abenteurer und Imperator, Casimir Katz Verlag 2006, ISBN 3-938047-16-X, S. 102''"
"In seiner Stube ohne Menschen eingeschlossen sein, auch wenn man Bücher zu Gesellschaftern hat, bringt doch auf die Länge eine gewisse Leerheit und Trockenheit des Geistes hervor.","Christian Garve, Über Gesellschaft und Einsamkeit"
"Ja, das grenzenloseste aller Abenteuer der Kindheit, das war das Leseabenteuer. Für mich begann es, als ich zum erstenmal ein eigenes Buch bekam und mich da hineinschnupperte. In diesem Augenblick erwachte mein Lesehunger, und ein besseres Geschenk hat das Leben mir nicht beschert.","Astrid Lindgren, Das entschwundene Land. Oetinger, 1977, S.79, ISBN 3789119407"
"Ja, ich bin genau so wie die Gestalten in meinen Büchern. Ich bin ein ruppiger Bursche und bekannt dafür, daß ich ein Wiener Hörnchen mit den bloßen Händen zerbreche.","Raymond Thornton Chandler, Die simple Kunst des Mordes"
"Je mehr sich unsere Bekanntschaft mit guten Büchern vergrössert, desto geringer wird der Kreis von Menschen, an deren Umgang wir Geschmack finden.","Ludwig Feuerbach, Abälard und Heloise, 1834"
"Jedes Buch ist ein Zwiegespräch zwischen Autor und Leser.","Ludwig Reiners, Stilkunst, Vorwort"
"Jedesmal, wenn du ein Buch fortgelegt hast und beginnst, den Faden eigener Gedanken zu spinnen, hat das Buch seinen beabsichtigten Zweck erreicht.","Janusz Korczak, Wie man ein Kind lieben soll - Jak kochać dziecko, 1919 (Das Kind in der Familie, 1.). Deutsch von Armin Droß."
"Jedes volkstümliche Buch ist ein Theater, wenn es danach strebt ein gutes Buch zu sein. Es ist, wenn es ein gutes Buch ist, stets ein symbolisches Schauspiel von jenen Geheimnissen des Lebens und der Welt, die zu dunkel und zu schwer sind, als dass man sie so darstellen kann wie sie sind. ","Raoul Heinrich Francé, Das Lebenswunder der Pflanze, 1941, Philosophie der Botanik S. 315"
"Kein Mensch weiß, wie er eine Büchersammlung ankauft – er hat sie und weiß keine Gründe, nur Wünsche.","(Nr. 662) Jean Paul Ideen-Gewimmel. Texte & Aufzeichnungen aus dem unveröffentlichten Nachlaß Hrsg. Thomas Wirtz & Kurt Wölfel Eichborn, Frankfurt a. M. 1996, S. 121"
"Man betrachte z.B. den Koran: dieses schlechte Buch war hinreichend, eine Weltreligion zu begründen, das metaphysische Bedürfnis zahlloser Millionen Menschen seit 1200 Jahren zu befriedigen, die Grundlage ihrer Moral und einer bedeutenden Verachtung des Todes zu werden, wie auch, sie zu blutigen Kriegen und den ausgedehntesten Eroberungen zu begeistern. Wir finden in ihm die traurigste und ärmlichste Gestalt des Theismus.","Arthur Schopenhauer, Die Welt als Wille und Vorstellung, Zweiter Band, Zum ersten Buch, zweite Hälfte, Kapitel 17"
"Man kann das Werden eines schlechten Buches vergeben, dann nur den Ärmsten, welche schreiben, um zu leben.","Molière, Der Menschenfeind"
"Meine Überzeugung, dass ich schreiben kann, setzt einen Verkehr nicht mit Schriftstellern, sondern mit Büchern voraus.","Antonio di Benedetto, Stille (1964), Suhrkamp, 1968, S. 23"
"Manche Bücher geraten unverdient in Vergessenheit; unverdient ins Gedächtnis zurückgerufen wird keines.","Wystan Hugh Auden. Des Färbers Hand und andere Essays. Deutsch von Fritz Lorch. Gütersloh Sigbert Mohn ohne Jahr (1962?), Prolog. Lesen. S. 23"
"Mich interessiert die Literatur, nicht das Buch.","Marcel Reich-Ranicki, Das Literarische Quartett, ZDF, zitiert in: Punkt! Das Magazin des Nordbayerischen Kuriers, 4. Februar 2005, reich-ranicki.com"
"Millionen von Arbeitsstunden gehen jedes Jahr durch unzureichende Lehrbücher verloren.","Ludwig Reiners, Stilkunst IV, Die Kunst zu lehren"
"Mit Andacht lies, und dich wird jedes Buch erbauen; Mit Andacht schau, und du wirst lauter Wunder schauen; Mit Andacht sprich nur, und man hört dir zu andächtig; Mit Andacht bist du stark, und ohn' Andacht ohnmächtig.","Friedrich Rückert, Die Weisheit des Brahmanen X, 98"
"Mit einem Buch konnte man im vorigen Jahrhundert noch Völker aufrütteln.","Bernhard Grzimek, Auf den Mensch gekommen, Erfahrungen mit Leuten, München 1977, S. 341"
"Niemand, der nicht schreibt, weiß, wie fein es ist, zu schreiben. Früher habe ich immer bedauert, nicht gut zeichnen zu können, aber nun bin ich überglücklich, daß ich wenigstens schreiben kann. Und wenn ich nicht genug Talent habe, um Zeitungsartikel oder Bücher zu schreiben, gut, dann kann ich es immer noch für mich selbst tun.","Anne Frank, Tagebucheintrag, 4. April 1944. Zitat entnommen der Ausgabe des Lambert Schneider Verlags, Hamburg, 1958, S. 214. Übersetzer: Anneliese Schütz"
"Nützlicher ist ein Buch als ein wohlgebautes Haus, // als Grabbauten im Westen; // besser ist es als ein festgegründeter Turm, // als ein Denkstein im Tempel!","Epilog. Nachruhm des Schreibers In: Altägyptische Dichtung. Ausgewählt und übersetzt von Erik Hornung. Reclam, Stuttgart 1996, S. 163."
"Schlagt die Bücher zu, und macht die Köpfe auf, damit nichts mehr hineingeht.","Johann Georg August Galletti, Gallettiana, 396)"
"Und schließlich gleicht der wahre Kritiker beim Lesen eines Buches einem Hunde beim Festmahl, dessen Sinnen und Trachten einzig auf das gerichtet ist, was die Gäste fortwerfen, und der daher dort am meisten knurren wird, wo die wenigsten Knochen abfallen.","Jonathan Swift, Ein Tonnenmärchen"
"Von den meisten Büchern bleiben nur Zitate übrig. Warum nicht gleich nur Zitate schreiben?","Stanisław Jerzy Lec, Unfrisierte Gedanken"
"Von den vielen Welten, die der Mensch nicht von der Natur geschenkt bekam, sondern aus dem eigenen Geist erschaffen hat, ist die Welt der Bücher die größte. Jedes Kind, wenn es die ersten Buchstaben auf seine Schultafel malt und die ersten Leseversuche macht, tut damit den ersten Schritt in eine künstliche und höchst komplizierte Welt, deren Gesetze und Spielregeln ganz zu erkennen und vollkommen zu üben kein Menschenleben ausreicht.","Hermann Hesse, Quelle: Die Welt der Bücher, Kalender aus dem Insel Verlag, 1977"
"Wenn ein Autor sein Buch an ein anderes Medium abgibt, an den Film oder an die Bühne, muss er den anderen Künstlern Freiraum lassen. Sonst können deren Medien nicht anfangen zu atmen.","Cornelia Funke, über die Umsetzung ihrer Romane in Filmdrehbücher, Spiegel Nr. 50/2008 vom 8. Dezember 2008, S. 184"
"Wenn ein Verfasser unbekannt, ohne Charakter und Verdienste ist, so ist das Buch nicht wert, daß die Zeit damit verdorben werde; noch mehr aber, wenn er sich großer Dinge unternimmt, berühmte Männer zu tadeln, Wissenschaften zu verbessern, und seine eigene Gedanken der Welt anzupreisen.","Immanuel Kant, Wahre Schätzung der lebendigen Kräfte, A VII"
"Wenn man ein Buch nicht mit Genuß immer und immer wieder lesen kann, lohnt es sich nicht, es überhaupt zu lesen.","Oscar Wilde, Der Verfall der Lüge / Cyril"
"Wichtig ist, die Bibel vom Lesebuch zum Lebensbuch werden zu lassen. Mir ist sie jeden Tag eine Neuerscheinung, denn die Nachrichten von heute sind morgen schon von gestern, die Bibel bleibt brennend aktuell.","Peter Hahne, Interview in NEUES LEBEN vom 19. März 2007, veröffentlicht auf www.peter-hahne.de"
"Wir dürfen Bücher [...] nicht als hochehrwürdige Heiligtümer verehren - und alles andere zum Sündenfall erklären.","Cornelia Funke, über den Umgang mit modernen Medien, Spiegel Nr. 50/2008 vom 8. Dezember 2008, S. 186"
"Zur Produktion eines Schriftstellers gehören nicht nur Bücher, sondern auch Gedanken.","Wolfgang Neuss, Der totale Neuss, Hamburg 1997, S. 22"
"Ein Buch ohne Vorwort ist wie ein Körper ohne Seele.","Jiddisches Sprichwort"
"Der Herr erwiderte: »Ich streiche nur den aus meinem Buch, der gegen mich sündigt.«","- 2. Mose 32,33"
"Deshalb antworte ich: »Herr, hier bin ich! Im Buch des Gesetzes steht alles, was du mir zu sagen hast. Ich will gerne tun, mein Gott, was du von mir erwartest. Dein Gesetz ist mir ins Herz geschrieben.«","Psalm 40,8"
"Du siehst doch, wie lange ich schon umherirre! Jede Träne hast du gezählt, ja, alle sind in deinem Buch festgehalten.","Psalm  56,9"
"Ich bezeuge allen, die da hören die Worte der Weissagung in diesem Buch: So jemand dazusetzt, so wir Gott zusetzen auf ihn die Plagen, die in diesem Buch geschrieben stehen. Und so jemand davontut von den Worten des Buchs dieser Weissagung, so wird Gott abtun sein Teil von Holz des Lebens und von der heiligen Stadt, davon in diesem Buch geschrieben ist.","Offenbarung 22,18-19 Luther 1912"
"Gekommen ist zu euch fürwahr ein Licht von Allah und ein klares Buch.","Sure 5, 15 (Ahmadiyya) Onlinetext"
"Wer sandte das Buch nieder, das Moses brachte als ein Licht und eine Führung für die Menschen […]?","Sure 6, 91 (Ahmadiyya) Onlinetext"
